Yas,Cinsiyet,MdnHal,EgtDrm,Tecrube,Stajyer/ogrenci,YagciFiter,Guverte Zabiti,Makina Zabiti,Elektrikci,Ikinci Muhendis,Ikinci Kaptan,Sinirli Kaptan,Kaptan,Basmuhendis,emniyet,memnuniyet
25,0,1,3,2,0,0,0,1,0,0,0,0,0,0,3.0238095238095,3.6666666666667
26,0,1,4,1,0,0,1,0,0,0,0,0,0,0,2.8809523809524,3.1666666666667
35,1,1,3,10,0,0,0,0,0,0,0,0,1,0,3.7142857142857,4.5833333333333
43,1,1,3,19,0,0,0,0,0,0,0,0,1,0,3.6428571428571,4.0833333333333
41,1,0,1,20,0,1,0,0,0,0,0,0,0,0,3.0952380952381,3.4166666666667
24,1,0,1,5,0,1,0,0,0,0,0,0,0,0,3.6666666666667,4.1666666666667
27,1,0,3,4,0,0,0,1,0,0,0,0,0,0,3.6190476190476,3.4166666666667
25,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.0238095238095,3.0833333333333
32,1,1,3,10,0,0,0,0,0,0,0,0,0,1,3.6666666666667,4.25
33,1,1,3,9,0,0,0,0,0,0,0,0,1,0,3.3809523809524,3.75
28,1,0,4,3,0,0,0,1,0,0,0,0,0,0,2.547619047619,2.9166666666667
31,1,0,3,6,0,0,0,0,0,1,0,0,0,0,3.4761904761905,3.5833333333333
27,1,0,3,3,0,0,0,1,0,0,0,0,0,0,3.047619047619,3.3333333333333
25,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3.5952380952381,4.0833333333333
27,1,0,3,3,0,0,1,0,0,0,0,0,0,0,3.3095238095238,3.4166666666667
27,1,0,3,4,0,0,0,0,0,1,0,0,0,0,3.2857142857143,3.25
23,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.1666666666667,3.5
21,1,0,3,1,1,0,0,0,0,0,0,0,0,0,2.4285714285714,2
34,1,0,3,9,0,0,0,0,0,0,0,0,0,1,4.047619047619,4.5833333333333
28,1,0,3,3,0,0,0,1,0,0,0,0,0,0,3.5,4
22,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.6904761904762,4
37,1,1,3,15,0,0,0,0,0,0,1,0,0,0,3.9285714285714,4.6666666666667
23,1,0,3,1,1,0,0,0,0,0,0,0,0,0,2.8571428571429,3.0833333333333
29,1,1,4,5,0,0,0,0,0,1,0,0,0,0,3.1904761904762,2.3333333333333
24,1,0,3,1,1,0,0,0,0,0,0,0,0,0,2.952380952381,3.25
23,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.2857142857143,3.5833333333333
27,1,0,3,4,0,0,1,0,0,0,0,0,0,0,3.4761904761905,2.8333333333333
26,1,0,3,1,0,0,1,0,0,0,0,0,0,0,3.7857142857143,3.9166666666667
30,1,0,4,5,0,0,0,1,0,0,0,0,0,0,3.0952380952381,3.25
24,1,0,3,2,0,0,1,0,0,0,0,0,0,0,3.4047619047619,3.5833333333333
